Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2005-2006,609787.0,,,,,,2140.0,Avondale,726.0,,,,114.0,88.0,106.0,111.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609809.0,,,,,,2370.0,Brentano,769.0,,,,92.0,76.0,84.0,74.0,70.0,87.0,86.0,95.0,0.0,0.0,0.0,0.0
2005-2006,609820.0,,,,,,2470.0,Burley,438.0,,,,51.0,53.0,52.0,28.0,32.0,24.0,44.0,44.0,0.0,0.0,0.0,0.0
2005-2006,609828.0,,,,,,2530.0,Burr,338.0,,,,28.0,30.0,26.0,31.0,49.0,39.0,41.0,29.0,0.0,0.0,0.0,0.0
2005-2006,609838.0,,,,,,2640.0,Carpenter,354.0,,,,44.0,38.0,34.0,33.0,34.0,39.0,42.0,37.0,0.0,0.0,0.0,0.0
2005-2006,610313.0,,,,,,7420.0,De Diego ,1275.0,,,,133.0,124.0,143.0,128.0,135.0,142.0,137.0,135.0,0.0,0.0,0.0,0.0
2005-2006,609896.0,,,,,,3120.0,Drummond,246.0,,,,26.0,24.0,15.0,11.0,20.0,24.0,23.0,24.0,0.0,0.0,0.0,0.0
2005-2006,609926.0,,,,,,3420.0,Franklin Magnet,364.0,,,,28.0,28.0,29.0,31.0,32.0,65.0,60.0,61.0,0.0,0.0,0.0,0.0
2005-2006,609974.0,,,,,,3830.0,Hawthorne,549.0,,,,60.0,61.0,63.0,60.0,61.0,67.0,56.0,61.0,0.0,0.0,0.0,0.0
2005-2006,610078.0,,,,,,4890.0,Inter-American,667.0,,,,73.0,68.0,66.0,71.0,68.0,64.0,64.0,63.0,0.0,0.0,0.0,0.0
2005-2006,610012.0,,,,,,4200.0,Jenner,496.0,,,,42.0,50.0,54.0,50.0,54.0,61.0,50.0,47.0,0.0,0.0,0.0,0.0
2005-2006,610033.0,,,,,,4420.0,LaSalle,577.0,,,,64.0,65.0,64.0,67.0,64.0,61.0,68.0,61.0,0.0,0.0,0.0,0.0
2005-2006,610038.0,,,,,,4480.0,Lincoln,645.0,,,,62.0,76.0,68.0,65.0,69.0,78.0,89.0,90.0,0.0,0.0,0.0,0.0
2005-2006,610039.0,,,,,,4490.0,Linne,807.0,,,,84.0,76.0,88.0,79.0,79.0,96.0,81.0,79.0,0.0,0.0,0.0,0.0
2005-2006,610325.0,,,,,,7560.0,Logandale Mid,363.0,,,,0.0,0.0,0.0,0.0,0.0,127.0,113.0,123.0,0.0,0.0,0.0,0.0
2005-2006,610029.0,,,,,,4380.0,Lozano Bilingual,484.0,,,,44.0,48.0,44.0,35.0,31.0,46.0,45.0,42.0,0.0,0.0,0.0,0.0
2005-2006,610048.0,,,,,,4580.0,Manierre,689.0,,,,68.0,81.0,88.0,58.0,59.0,75.0,60.0,50.0,0.0,0.0,0.0,0.0
2005-2006,610059.0,,,,,,4680.0,Mayer,607.0,,,,48.0,50.0,69.0,71.0,77.0,79.0,76.0,80.0,0.0,0.0,0.0,0.0
2005-2006,610095.0,,,,,,5080.0,Newberry Magnet,573.0,,,,61.0,66.0,66.0,71.0,57.0,66.0,58.0,66.0,0.0,0.0,0.0,0.0
2005-2006,610085.0,,,,,,4970.0,Nr North SPED Ctr,111.0,,,,1.0,0.0,4.0,10.0,25.0,25.0,21.0,25.0,0.0,0.0,0.0,0.0
2005-2006,610101.0,,,,,,5150.0,Ogden,611.0,,,,51.0,60.0,72.0,72.0,66.0,74.0,84.0,84.0,0.0,0.0,0.0,0.0
2005-2006,610107.0,,,,,,5220.0,Otis,588.0,,,,54.0,41.0,61.0,73.0,80.0,69.0,75.0,56.0,0.0,0.0,0.0,0.0
2005-2006,610119.0,,,,,,5330.0,Peabody,313.0,,,,40.0,29.0,21.0,43.0,29.0,27.0,39.0,41.0,0.0,0.0,0.0,0.0
2005-2006,610136.0,,,,,,5500.0,Prescott,219.0,,,,28.0,24.0,19.0,33.0,27.0,20.0,18.0,15.0,0.0,0.0,0.0,0.0
