Network,Total_Enrollment,State English Learners_N,State English Learners_Pct,Students with Disabilities_N,Students with Disabilities_Pct,Economically Disadvantaged_N,Economically Disadvantaged_Pct,Year
Network 13,11955,2022,0.16913425345043914,2078,0.1738184859891259,9492,0.7939774153074027,2024-2025
Network 14,28237,7560,0.26773382441477495,4451,0.1576300598505507,17919,0.6345929100116868,2024-2025
Network 15,20941,4929,0.23537557900768827,2786,0.13304044697005873,15266,0.7290005252853254,2024-2025
Network 16,12075,3521,0.2915942028985507,2364,0.19577639751552794,10149,0.8404968944099379,2024-2025
Network 17,10582,948,0.08958608958608959,1659,0.15677565677565677,8809,0.8324513324513324,2024-2025
ISP,27028,9560,0.3537072665384046,4259,0.15757732721622023,17949,0.6640890927926595,2024-2025
Charter,47706,11246,0.23573554689137635,7174,0.15037940720244833,41082,0.8611495409382468,2024-2025
Contract,1077,69,0.06406685236768803,166,0.1541318477251625,817,0.7585886722376973,2024-2025
Options,6183,1053,0.1703056768558952,1107,0.17903930131004367,5620,0.9089438783761928,2024-2025
Network 1,23495,8076,0.3437327090870398,3770,0.16045967227069588,11439,0.4868695467120664,2023-2024
Network 2,12482,4447,0.3562730331677616,2090,0.1674411152058965,6766,0.5420605672167922,2023-2024
Network 3,12813,4988,0.3892921251853586,2275,0.1775540466713494,10024,0.7823304456411457,2023-2024
Network 4,18520,4332,0.23390928725701943,2541,0.13720302375809934,7744,0.41814254859611233,2023-2024
Network 5,8539,1911,0.22379669750556272,1540,0.18034898700081978,6858,0.8031385408127415,2023-2024
Network 6,11046,2203,0.19943871084555495,1617,0.14638783269961977,6104,0.5525982256020279,2023-2024
Network 7,8793,3941,0.4481974297736836,1729,0.19663368588650063,6998,0.795860343455021,2023-2024
Network 8,11451,5688,0.4967251768404506,2011,0.175617849969435,9016,0.78735481617326,2023-2024
Network 9,9773,258,0.026399263276373684,1423,0.14560523892356492,7028,0.7191241174664893,2023-2024
Network 10,17253,5279,0.30597577232944995,3138,0.1818814119283603,12078,0.7000521648408973,2023-2024
Network 11,8192,316,0.03857421875,1617,0.1973876953125,6699,0.8177490234375,2023-2024
Network 12,10209,399,0.03908316191595651,1677,0.16426682339112547,8129,0.7962582035458908,2023-2024
Network 13,11735,1698,0.14469535577332765,1941,0.1654026416702173,9270,0.789944610140605,2023-2024
Network 14,28266,6592,0.23321304747753485,4480,0.158494304110946,17808,0.6300148588410104,2023-2024
Network 15,21118,4220,0.19982952931148784,2822,0.1336300786059286,15151,0.7174448337910787,2023-2024
Network 16,11623,2776,0.23883678912501075,2039,0.1754280306289254,9716,0.8359287619375376,2023-2024
Network 17,10544,682,0.06468133535660091,1690,0.16028072837632776,8796,0.8342185128983308,2023-2024
ISP,31723,10810,0.34076222299278125,5006,0.15780348642940453,20856,0.6574409734262208,2023-2024
Charter,48400,10444,0.21578512396694216,7165,0.14803719008264463,41503,0.8575,2023-2024
